pred,true
[0.15869069],[0.00416667]
[0.19193086],[0.22436666]
[1.0963016],[0.59063333]
[1.7002792],[1.5518999]
[2.473745],[2.6229334]
[4.3580537],[3.8312669]
[5.8023806],[5.069733]
[7.240745],[6.2938333]
[8.383649],[7.4904666]
[9.4089365],[8.629233]
[10.482688],[9.72]
[11.526104],[10.781533]
[12.553096],[11.767]
[13.516369],[12.627168]
[14.38871],[13.442367]
[15.144793],[14.164501]
[15.764948],[14.8011]
[16.200506],[15.455833]
[16.502886],[15.961766]
[16.746132],[16.506767]
[16.918585],[16.794733]
[16.989063],[16.887434]
[17.023111],[17.206467]
[17.06731],[17.300467]
[17.079435],[17.291967]
[17.029493],[17.453434]
[16.997936],[17.4332]
[16.920418],[17.448534]
[16.782522],[17.0865]
[16.577839],[17.0834]
[16.413847],[16.646734]
[16.134804],[16.309334]
[15.82785],[15.727965]
[15.4433975],[15.163]
[15.0191145],[14.6672325]
[14.58721],[13.920668]
[14.053407],[13.2494335]
[13.445614],[12.437034]
[12.650505],[11.565201]
[11.626497],[10.6615]
[10.624037],[9.629366]
[9.372133],[8.451967]
[8.079737],[7.322833]
[6.9854474],[6.1222334]
[6.0275583],[4.8737664]
[4.8009906],[3.6562998]
[3.5267217],[2.4825]
[2.3732731],[1.4619]
[1.298921],[0.68600005]
[0.4847218],[0.2628333]
[0.15832695],[0.09743331]
[0.12030792],[0.00523333]
[0.15237233],[-6.666667e-05]
[0.88969374],[0.00013333]
[1.3711296],[0.21739997]
[1.727212],[0.5195]
[1.942188],[1.5125333]
[2.530921],[2.5907001]
[4.251527],[3.8280334]
[5.788135],[5.098267]
[7.332884],[6.3673663]
[8.490278],[7.598967]
[9.533187],[8.761499]
[10.578951],[9.862499]
[11.617332],[10.869433]
[12.568665],[11.786967]
[13.479273],[12.572466]
[14.286002],[13.3515005]
[15.076174],[13.946467]
[15.639712],[14.593732]
[16.09222],[15.195534]
[16.434069],[15.664534]
[16.6558],[16.190466]
[16.819193],[16.510601]
[16.876642],[16.739235]
[16.922806],[16.9701]
[16.975183],[17.336134]
[17.052208],[17.340899]
[17.019644],[17.557966]
[16.976835],[17.423967]
[16.84187],[17.059101]
[16.685602],[17.032999]
[16.456919],[16.873632]
[16.245697],[16.344467]
[15.924297],[15.866799]
[15.585169],[15.522468]
[15.240102],[15.139034]
[14.858558],[14.5921]
[14.449867],[13.7256]
[13.822723],[13.160168]
[13.233566],[12.384733]
[12.406616],[11.495267]
[11.355543],[10.537001]
[10.445075],[9.581333]
[9.252499],[8.4178]
[8.014546],[7.2815337]
[6.9050126],[6.046533]
[5.934379],[4.829]
[4.737853],[3.6055334]
[3.4635627],[2.432]
[2.2978723],[1.4244001]
[1.2274364],[0.66693336]
[0.42860848],[0.25493333]
[0.14203498],[0.10313331]
[0.11409712],[0.00846667]
[0.14938396],[0.0002]
[1.0220826],[0.21406665]
[1.6742556],[0.39]
[1.8700113],[1.5214667]
[2.6864207],[2.6416]
[4.35892],[3.7685335]
[5.77511],[4.9740667]
[7.200129],[6.2032]
[8.330109],[7.4006]
[9.327169],[8.523467]
[10.35446],[9.5834675]
[11.346211],[10.477]
[12.247361],[11.4942665]
[13.19109],[12.3436]
[14.025957],[13.092334]
[14.765905],[13.675867]
[15.370832],[14.237066]
[15.839048],[14.754]
[16.201115],[15.246201]
[16.49193],[15.5518]
[16.62195],[15.8852005]
[16.685246],[16.2262]
[16.755539],[16.533867]
[16.804293],[16.614466]
[16.844734],[16.7892]
[16.821299],[16.918468]
[16.774752],[16.748234]
[16.658873],[16.642]
[16.495323],[16.4727]
[16.245975],[16.159166]
[15.967821],[15.7761]
[15.661922],[15.5744]
[15.286101],[15.054433]
[14.935446],[14.522133]
[14.4453535],[13.904767]
[13.932707],[13.311667]
[13.327232],[12.589266]
[12.569922],[11.868667]
[11.6279],[11.047434]
[10.644722],[10.069034]
[9.73365],[9.103134]
[8.654796],[8.0822]
[7.642671],[6.9691668]
[6.6046376],[5.7760334]
[5.659077],[4.5728664]
[4.4624267],[3.4032667]
[3.2313802],[2.3104334]
[2.0869083],[1.2449666]
[1.0098588],[0.66566676]
[0.35789096],[0.27856666]
[0.13008818],[0.10833331]
[0.11091045],[0.00623333]
[0.15325865],[6.666667e-05]
[0.83967686],[0.22083335]
[1.4778967],[0.5151]
[1.8510778],[1.4210334]
[2.7199275],[2.4339666]
[4.3422284],[3.5934]
[5.7359066],[4.812]
[7.086014],[6.0338335]
[8.180975],[7.213467]
[9.091682],[8.358133]
[10.082612],[9.4287]
[11.040341],[10.4291]
[11.984075],[11.390301]
[12.843319],[12.1977]
[13.6657295],[13.044434]
[14.448147],[13.7994995]
[15.151432],[14.4482]
[15.7145],[15.016433]
[16.112476],[15.532934]
[16.424658],[15.923433]
[16.603668],[16.263233]
[16.679659],[16.578533]
[16.742228],[16.823168]
[16.784746],[16.980967]
[16.815996],[16.997131]
[16.773111],[16.997831]
[16.729036],[16.984333]
[16.642817],[16.834768]
[16.510653],[16.601667]
[16.26574],[16.235065]
[15.945829],[15.870934]
[15.550172],[15.574934]
[15.124421],[14.995934]
[14.702308],[14.567133]
[14.193657],[13.9866]
[13.724905],[13.400467]
[13.093852],[12.671134]
[12.380764],[11.893933]
[11.457548],[11.056]
[10.498066],[10.177266]
[9.626671],[9.137267]
[8.502125],[8.071067]
[7.4870095],[6.9554]
[6.469626],[5.805333]
[5.519074],[4.6131997]
[4.3323083],[3.4220002]
[3.0831528],[2.3276]
[1.9199029],[1.3625333]
[0.9062054],[0.64633334]
[0.24422911],[0.2503333]
[0.01000431],[0.09173331]
[-0.00768122],[0.22336665]
[0.6459764],[0.6584]
[1.487102],[1.2585334]
[2.2430308],[2.3937333]
[3.5422447],[3.327067]
[4.875564],[3.8689997]
[5.5771775],[3.9173331]
[5.7082114],[4.6993337]
[6.0234294],[4.3008]
[5.827863],[4.7158003]
[6.12774],[6.653867]
[7.5056424],[8.2112]
[8.177851],[9.015534]
[8.755831],[9.783266]
[9.480424],[12.157001]
[11.822588],[11.966666]
[11.303788],[13.299399]
[13.252691],[15.008134]
[14.532759],[13.211334]
[13.601826],[10.914667]
[12.393629],[13.3754]
[13.055825],[12.719132]
[12.926514],[10.570133]
[11.841543],[13.576399]
[13.603052],[13.248466]
[12.667309],[15.600065]
[14.635172],[11.971332]
[12.35248],[12.627733]
[12.841259],[13.460332]
[12.761429],[14.844667]
[14.249943],[11.238734]
[11.396988],[7.960067]
[9.024079],[11.566934]
[10.999163],[12.175334]
[11.094509],[6.8728004]
[8.018795],[5.9985332]
[6.5929112],[7.9049993]
[6.666142],[9.424733]
[7.852831],[6.2516]
[6.239207],[5.5368667]
[5.318312],[7.1654005]
[5.6328826],[3.730133]
[4.173941],[3.2924]
[2.9226885],[2.120733]
[1.8954234],[2.1492667]
[1.2883779],[1.382333]
[0.99295926],[1.4185333]
[0.9371145],[0.5672]
[0.6757914],[0.1389333]
[0.48125207],[0.05266666]
[0.49344033],[6.666667e-05]
[1.1115018],[0.37986675]
[1.7280524],[0.8053333]
[2.3563223],[1.5293332]
[3.3136566],[2.2298002]
[4.1040974],[2.8462]
[4.720887],[3.7366002]
[5.497997],[4.2876]
[6.0060973],[5.449533]
[6.747639],[6.1677337]
[7.492008],[7.2999334]
[8.182105],[6.4248667]
[7.977739],[9.301267]
[10.156784],[10.2298]
[10.13282],[10.214733]
[11.170443],[12.500333]
[12.549397],[11.559466]
[12.35352],[14.272266]
[14.630009],[13.699134]
[14.305307],[14.730466]
[15.216721],[15.169134]
[15.461608],[15.688999]
[15.80183],[15.653268]
[15.811516],[15.706133]
[15.845834],[16.100735]
[15.971064],[16.266666]
[16.035496],[16.2482]
[15.963909],[16.155735]
[15.942083],[16.1526]
[15.9218445],[15.844799]
[15.714142],[15.740334]
[15.583057],[15.235333]
[15.269725],[14.72]
[14.880525],[14.3308]
[14.51435],[13.711334]
[13.898237],[12.9864]
[13.188896],[12.2938]
[12.466752],[11.515333]
[11.496289],[10.625067]
[10.35012],[9.615033]
[9.27995],[8.5753]
[8.230168],[7.4774666]
[7.144175],[6.3590665]
[6.1769657],[5.2269664]
[5.1779685],[4.1417665]
[3.9897528],[3.1382668]
[2.8671515],[2.2314334]
[1.8554387],[1.4295332]
[0.9898901],[0.83823335]
[0.46413258],[0.4267]
[0.26271373],[0.14833333]
[0.18024635],[0.01073333]
[0.16731101],[0.01896666]
[0.98238504],[0.2784333]
[1.712624],[0.44073328]
[2.2264252],[1.4842668]
[2.5669143],[2.5429668]
[4.543449],[3.6939]
[5.896612],[4.9011664]
[7.4297643],[6.1347995]
[8.570057],[7.337833]
[9.647122],[8.532967]
[10.675171],[9.638634]
[11.719894],[10.714233]
[12.697119],[11.654266]
[13.597788],[12.572467]
[14.393061],[13.366699]
[15.10611],[14.1434]
[15.746071],[14.8264]
[16.26277],[15.432134]
[16.581034],[15.983968]
[16.83318],[16.425798]
[16.97928],[16.833635]
[17.044554],[17.1288]
[17.114714],[17.244133]
[17.123556],[17.420467]
[17.136024],[17.533602]
[17.083258],[17.550232]
[17.06103],[17.501966]
[16.930353],[17.3264]
[16.828836],[17.2178]
[16.652979],[16.904068]
[16.445799],[16.513233]
[16.26536],[16.079634]
[16.00978],[15.709834]
[15.718278],[15.129835]
[15.366608],[14.542799]
[14.860656],[13.915632]
[14.32702],[13.111899]
[13.662811],[12.332834]
[12.741082],[11.416367]
[11.600542],[10.423566]
[10.628502],[9.429467]
[9.492207],[8.2814]
[8.201945],[7.1366334]
[7.1057534],[5.9705663]
[6.1298604],[4.767033]
[4.992973],[3.5581665]
[3.736359],[2.4267]
[2.5260668],[1.4576334]
[1.3912058],[0.7384001]
[0.45973566],[0.29153335]
[0.10550681],[0.12803331]
[0.07034704],[0.01733333]
[0.10355642],[0.02996666]
[1.01045],[0.2189]
[1.7611263],[0.31563333]
[2.1575644],[1.5106333]
[2.6053116],[2.6762667]
[4.7105618],[3.8740664]
[6.2325177],[5.1110334]
[7.776158],[6.3494997]
[8.961796],[7.585067]
[10.092342],[8.7601]
[11.14583],[9.889767]
[12.19791],[10.908634]
[13.14782],[11.861267]
[14.048818],[12.731801]
[14.775269],[13.620967]
[15.483999],[14.3099]
[16.082407],[15.082032]
[16.523867],[15.609533]
[16.805655],[16.134998]
[17.014994],[16.661633]
[17.13653],[16.9642]
[17.18893],[17.1976]
[17.24756],[17.508568]
[17.26818],[17.583967]
[17.283003],[17.658598]
[17.240944],[17.623531]
[17.206785],[17.555233]
[17.02278],[17.483536]
[16.932295],[17.269632]
[16.713758],[17.009068]
[16.51601],[16.657467]
[16.343523],[16.3326]
[16.125206],[15.769734]
[15.8320675],[15.208633]
[15.50277],[14.564366]
