True,Predicted
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0684,0
0.26673332,0
0.48033336,0
1.4843999,0
2.5672002,[1.4148418]
3.7258332,[4.596928]
4.937667,[7.940763]
6.1702337,[9.080878]
7.3830333,[10.553437]
8.546767,[11.320624]
9.6636,[12.3888445]
10.6852,[13.202308]
11.652467,[14.076472]
12.575934,[14.81769]
13.435166,[15.467048]
14.115633,[15.995195]
14.7808,[16.434078]
15.334065,[16.771439]
15.853666,[17.002363]
16.356068,[17.165834]
16.751432,[17.268183]
16.989866,[17.323677]
17.211634,[17.344168]
17.452934,[17.309614]
17.533466,[17.253702]
17.498335,[17.191881]
17.368132,[17.084059]
17.352932,[16.916025]
17.201735,[16.820272]
16.8977,[16.699846]
16.5142,[16.590664]
16.068167,[16.464296]
15.592001,[16.316807]
15.029267,[16.14501]
14.439366,[15.936529]
13.771067,[15.666421]
13.0293,[15.349642]
12.2406,[14.986508]
11.354434,[14.509902]
10.413699,[13.832569]
9.372333,[13.150435]
8.3203,[12.400728]
7.2014003,[11.451566]
6.0165334,[10.412339]
4.8059998,[9.275916]
3.6297333,[8.099025]
2.5017002,[6.743157]
1.5192666,[5.2687263]
0.7611334,[3.3822315]
0.32186666,[1.8734266]
0.15446666,[0.6970417]
0.029766666,[0.22302009]
0.0,[0.05307549]
0.0,[-0.01084187]
0.0,[-0.02109604]
0.0,[-0.02901561]
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
