True,Predicted
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0684,0.0
0.26673332,0.0
0.48033336,0.0
1.4843999,0.0
2.5672002,1.3477972283049255
3.7258332,3.272418983710559
4.937667,5.66864109312952
6.1702337,7.7231893120293496
7.3830333,9.074848226232447
8.546767,10.026834596508158
9.6636,10.904360450573535
10.6852,12.014912388423324
11.652467,13.12654477047604
12.575934,14.117140869677854
13.435166,14.846403835017307
14.115633,15.419373153821688
14.7808,15.718092851527667
15.334065,16.023172565821046
15.853666,16.370725961150036
16.356068,16.816615837667527
16.751432,16.67663549479555
16.989866,17.88647756090017
17.211634,18.297701904984514
17.452934,18.1921213834053
17.533466,17.77136266913536
17.498335,17.602391590640423
17.368132,17.114372120787852
17.352932,16.676309132864564
17.201735,16.471220609696513
16.8977,16.321325101533013
16.5142,15.959793150207942
16.068167,15.548007035994862
15.592001,14.945464699287745
15.029267,14.524331152806882
14.439366,14.067530001019593
13.771067,13.54022478295004
13.0293,12.958369872582624
12.2406,12.330527936254985
11.354434,11.317438928324268
10.413699,10.370351052433351
9.372333,9.618221855576623
8.3203,8.88154415744827
7.2014003,8.05618105054273
6.0165334,7.1770063230933845
4.8059998,6.316354338012485
3.6297333,5.347801622658111
2.5017002,4.28501475041105
1.5192666,3.3366635910251623
0.7611334,2.2508586219296713
0.32186666,1.4422970028029003
0.15446666,0.5609442319281978
0.029766666,0.07094696938836623
0.0,0.049924906155715904
0.0,0.03871984226310923
0.0,0.1454343480612298
0.0,0.09485763046971424
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
