True,Predicted
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0684,0.0
0.26673332,0.0
0.48033336,0.0
1.4843999,0.0
2.5672002,0.0
3.7258332,1.5529940125770776
4.937667,5.989906833731638
6.1702337,6.703158782034321
7.3830333,9.00406565608142
8.546767,10.989349464671173
9.6636,9.045003683582745
10.6852,9.822080892999262
11.652467,12.217245956063584
12.575934,13.63083085615953
13.435166,14.88457832964336
14.115633,13.73125872801742
14.7808,14.54744059679082
15.334065,15.423014119483515
15.853666,14.30380902075182
16.356068,13.919658438595535
16.751432,16.53108803495283
16.989866,15.376837206178182
17.211634,15.63424978759746
17.452934,15.850353595902385
17.533466,14.136977878443705
17.498335,14.69845154224705
17.368132,14.132968268059624
17.352932,13.367783034760766
17.201735,14.75033536408404
16.8977,15.135986806604398
16.5142,14.096088841926516
16.068167,14.75988214866022
15.592001,14.172029349705634
15.029267,14.531263853700661
14.439366,13.341009252011192
13.771067,14.501888736292752
13.0293,13.179690643401019
12.2406,14.38962332560707
11.354434,14.103330156237979
10.413699,11.803308143110089
9.372333,11.02316518217707
8.3203,10.456214021001013
7.2014003,9.802625277045173
6.0165334,8.95608034315748
4.8059998,7.29299575563946
3.6297333,6.182576914815621
2.5017002,5.3211988433815485
1.5192666,3.6581562166605757
0.7611334,0.9712921589427257
0.32186666,0.2986735950654754
0.15446666,0.0
0.029766666,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
