pred,true
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.016166668
0,0.3594
0,0.7305334
[0.4915312],1.3455334
[1.2913527],1.9364667
[1.7038968],3.3065333
[2.4236429],5.6901
[3.5592535],6.180767
[4.180046],7.1765666
[4.4956193],6.4723334
[4.555839],6.46
[7.400622],11.872699
[11.463592],11.833567
[11.1389675],13.277467
[12.707995],11.511866
[11.505739],11.731867
[12.1675005],13.653033
[13.144056],15.077967
[14.111876],15.415533
[14.391723],16.033468
[14.550138],16.1678
[14.689224],13.763266
[13.416794],15.450866
[14.587437],12.926601
[12.6194],14.917267
[13.874858],17.154667
[15.4215555],15.146467
[13.681306],10.0956
[7.0845447],8.454667
[7.388262],8.6234665
[6.815021],11.587266
[9.282909],8.943867
[8.234453],5.766667
[6.2960443],7.5462666
[6.733103],6.328333
[7.4308567],8.261
[8.919544],5.1736665
[7.650313],2.9074667
[5.073288],1.4103999
[3.9094791],0.5294666
[2.2346435],0.3402666
[1.0242062],0.49733338
[0.29890054],0.6657333
[0.17120588],0.60706663
[1.2570915],0.5085334
[0.12968504],0.47286674
[0.1968351],0.2137333
[0.150119],0.06779999
[0.14356178],0.042066664
[0.12512833],0.008266666
[0.15571737],0.0
[0.15160519],0.0
[0.14706576],0.0
[0.14666635],0.0
[0.14542216],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
