pred,true
[9.467402],5.0996003
[7.180001],7.6156
[7.787628],3.8999333
[5.8095465],5.9863997
[6.346942],5.7568
[6.165407],3.7873998
[5.0076237],1.8511336
[3.0712366],1.5559335
[2.8171732],1.1368666
[2.0987625],0.8080668
[1.520999],0.5653333
[1.1780503],0.2715333
[0.8717673],0.031266663
[0.5908971],0.0
[0.41882217],0.0
[0.32877517],0.0
[0.29362088],0.0
[0.2836299],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.16186665
0,0.5850666
0,0.9868001
[2.7112038],2.11
[3.3344896],3.2454665
[4.9659524],3.9984
[5.670563],5.4922667
[6.6829257],6.4444666
[7.1916676],7.8973327
[7.8262672],8.717799
[8.732157],9.909467
[10.130026],10.899134
[11.577983],11.747533
[12.809689],12.5716
[13.5715685],13.298599
[14.261934],13.936533
[14.585558],14.655799
[14.815974],14.6612
[14.875243],15.6162
[16.116024],15.949534
[16.730381],16.094799
[16.856102],16.2114
[16.312279],15.269665
[14.868307],14.480933
[14.844071],8.342667
[12.813773],8.060733
[12.89942],6.200134
[11.947301],6.580133
[10.57558],9.240534
[8.942733],11.264532
[9.376338],11.3376
[9.451583],8.532666
[8.975037],6.742467
[8.152655],12.573533
[10.165839],13.207067
[11.748561],11.245068
[10.949731],12.200001
[11.221479],11.3118
[10.845588],7.1417327
[9.593284],5.9682665
[8.274947],5.038867
[7.163017],4.8247333
[5.7063117],4.4738
[4.6616263],5.1301336
[5.319938],3.4044669
[4.0773296],2.2037332
[3.141644],1.6030666
[2.5453553],1.0251999
[1.6508951],0.26106665
[1.0158064],0.047266662
[0.6932014],0.0
[0.46300137],0.0
[0.35685444],0.0
[0.29932153],0.0
[0.27415526],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0072000003
0,0.48826668
0,1.2742001
[2.4159298],3.1864667
[3.9599438],3.0290668
[4.8180823],3.2467332
[5.27466],4.426
[6.073764],6.850572
[6.6359653],3.5556002
[5.7427344],4.0002
[5.6659274],2.0530667
[5.927795],3.4966664
[6.1186357],4.6442003
[6.619304],10.970867
[9.983573],8.142533
[9.157625],4.9313
[7.824031],4.0082664
[6.102618],9.078899
[9.446135],6.3248997
[8.244368],7.8581667
[8.355528],5.2791667
[7.195675],8.923834
[8.64851],7.079367
[8.260441],4.1889668
[6.6025233],7.490599
[7.2411475],6.7818003
[7.448577],6.9341335
[7.364414],13.3998
[10.353479],6.658433
[8.449269],6.4632
[7.1210346],8.675034
[8.241001],6.7834334
[7.5364857],6.3701997
[6.793879],7.0066004
[6.8323927],5.2362
[5.720408],3.9919999
[4.1755013],2.6404333
[2.8838425],3.5088665
[2.9053137],3.2806334
[2.673811],3.0774667
[2.6984873],2.8825998
[2.6673584],5.783701
[5.0044847],5.145
[5.675864],4.6893
[5.523352],3.4912667
[4.032639],1.575
[2.524591],1.2118667
[1.7670989],0.26469997
[0.8548845],0.26906666
[0.5522531],0.078133315
[0.3968457],0.0
[0.30447125],0.0
[0.2746142],0.0
[0.26158738],0.0
[0.25884533],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.06563333
0,0.5456
0,1.2641333
[2.556038],2.2458
[3.3252246],3.4185333
[5.447411],4.6521997
[6.3371177],5.8873663
[7.2137537],7.1125
[7.85536],8.2749
[8.549856],9.413367
[9.303514],10.476399
[10.378076],11.504634
[11.895892],12.396434
[13.140915],13.273099
[14.052663],13.2802
[14.042513],14.259001
[14.812554],15.292666
[15.203404],15.008466
[15.016776],16.179365
[14.769687],15.754367
[15.440797],16.851566
[16.41278],12.899766
[14.355516],14.293567
[15.669767],15.432234
[16.831226],17.492167
[18.783993],15.529099
[16.523129],16.157368
[17.090927],16.217968
[14.482668],16.566566
[13.762308],12.450832
[11.181592],14.787499
[12.745036],14.018034
[13.643471],14.929699
[14.551411],14.5492
[14.374912],6.926034
[11.368958],10.444433
[10.6945715],7.3154664
[8.248896],7.1915
[7.51248],5.0252666
[6.2579994],6.6263
[6.850115],3.2828999
[5.175558],2.2038999
[3.1783452],2.1888995
[3.2180803],2.0254
[2.8084385],1.8761998
[2.439206],1.0849333
[1.8935692],0.96806675
[1.5831572],0.42986664
[1.2337936],0.22419998
[0.9569297],0.013866666
[0.66068816],0.0
[0.45759726],0.0
[0.3593732],0.0
[0.32094097],0.0
[0.326087],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.016166668
0,0.3594
0,0.7305334
[2.361081],1.3455334
[3.5189278],1.9364667
[4.265401],3.3065333
[5.0428457],5.6901
[6.0922422],6.180767
[6.1443605],7.1765666
[6.5168014],6.4723334
[5.9988565],6.46
[6.926824],11.872699
[12.203563],11.833567
[11.988183],13.277467
[13.834151],11.511866
[12.681957],11.731867
[13.065406],13.653033
[14.363945],15.077967
[15.693289],15.415533
[16.338078],16.033468
[16.62027],16.1678
[16.508595],13.763266
[14.650924],15.450866
[16.246338],12.926601
[14.509259],14.917267
[15.408122],17.154667
[17.807076],15.146467
[15.406904],10.0956
[11.462651],8.454667
[10.835855],8.6234665
[10.874054],11.587266
[11.134922],8.943867
[11.172841],5.766667
[10.054446],7.5462666
[9.289453],6.328333
[8.299419],8.261
[7.9732056],5.1736665
[6.210436],2.9074667
[4.1414785],1.4103999
[2.9457586],0.5294666
[2.473311],0.3402666
[1.6991473],0.49733338
[1.1905007],0.6657333
[1.0037657],0.60706663
[0.82224965],0.5085334
[0.7102022],0.47286674
[0.60538995],0.2137333
[0.471259],0.06779999
[0.39072478],0.042066664
[0.35710967],0.008266666
[0.3537556],0.0
[0.3800385],0.0
[0.43960464],0.0
[0.4753121],0.0
[0.46383178],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.046933323
0,0.3400667
0,0.5768
0,0.4302
[2.4986377],2.4288
[3.7226331],4.0732665
[5.6654377],5.3264666
[6.3532143],7.237133
[7.260386],8.400467
[6.7758603],5.4557333
[5.8121142],7.034933
[6.8750925],9.370067
[8.980042],9.082799
[9.741546],13.054133
[13.40347],11.742934
[12.40372],14.460134
[14.734635],15.0178
[14.279694],15.5596
[15.3502],16.053867
[15.9617815],16.343601
[16.333176],17.179333
[16.764446],13.767866
[14.671077],16.370333
[15.324386],15.336599
[16.178844],16.5264
[16.590202],16.569067
[16.580841],17.514668
[17.261616],15.106667
[15.228131],13.8354
