timestamp,Active_Power,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
2019-01-01 00:00:00,0.0,30.020723342896,20.125513076782,1.5437868833542,1.3498475551605,32.213470458984,0.0,2.9402587413788,0.58174425363541
2019-01-01 00:05:00,0.0,29.958652496338,20.040048599243,1.3733695745468,1.244122505188,32.158790588379,0.0,2.9584047794342,0.62229657173157
2019-01-01 00:10:00,0.0,29.884490966797,20.013313293457,1.1429529190063,0.99284881353378,32.155807495117,0.0,2.9799332618713,0.5545067191124
2019-01-01 00:15:00,0.0,29.831554412842,20.06823348999,0.70903557538986,0.61153334379196,32.178554534912,0.0,2.9665946960449,0.557461977005
2019-01-01 00:20:00,0.0,29.750329971313,20.086566925049,1.0586233139038,0.81459927558899,32.166213989258,0.0,3.0377898216248,0.55925953388214
2019-01-01 00:25:00,0.0,29.532783508301,20.429800033569,1.4584478139877,1.2635903358459,32.247840881348,0.0,3.0268902778625,0.49150264263153
2019-01-01 00:30:00,0.0,29.333589553833,20.735050201416,1.6845316886902,1.4875284433365,32.305141448975,0.0,2.7502765655518,0.41973108053207
2019-01-01 00:35:00,0.0,29.115730285645,20.767770767212,1.7852724790573,1.6077982187271,32.390380859375,0.0,2.9615745544434,0.55569988489151
2019-01-01 00:40:00,0.0,28.895196914673,21.143363952637,1.5076394081116,1.2796251773834,32.45877456665,0.0,2.9506826400757,0.57392221689224
2019-01-01 00:45:00,0.0,28.87038230896,21.860403060913,1.13665163517,0.86531603336334,32.498596191406,0.0,2.8184666633606,0.45440688729286
2019-01-01 00:50:00,0.0,28.844110488892,22.8459815979,1.1517934799194,0.93974721431732,32.609760284424,0.0,2.5403845310211,0.39668038487434
2019-01-01 00:55:00,0.0,28.717376708984,23.092876434326,1.3624976873398,1.1606793403625,32.669178009033,0.0,2.7419767379761,0.45202547311783
2019-01-01 01:00:00,0.0,28.702896118164,22.910829544067,1.4067277908325,1.1397072076797,32.757442474365,0.0,2.887051820755,0.55417096614838
2019-01-01 01:05:00,0.0,28.701187133789,22.651330947876,1.1400463581085,0.93926191329956,32.814002990723,0.0,3.0347113609314,0.43065282702446
2019-01-01 01:10:00,0.0,28.662622451782,21.774225234985,0.94926846027374,0.79879814386368,32.87406539917,0.0,2.953521490097,0.2981890141964
2019-01-01 01:15:00,0.0,28.844804763794,21.462774276733,0.73678469657898,0.62774872779846,32.92463684082,0.0,2.1673970222473,0.16389518976212
2019-01-01 01:20:00,0.0,29.389600753784,20.178634643555,0.37204352021217,0.60017877817154,32.975528717041,0.0,1.7906174659729,0.11739829182625
2019-01-01 01:25:00,0.0,30.003379821777,19.424627304077,0.35159415006638,0.60341221094131,32.93132019043,0.0,1.6790330410004,0.10393462330103
2019-01-01 01:30:00,0.0,30.191591262817,19.369424819946,0.50769698619843,0.61006486415863,32.905235290527,0.0,1.8308703899384,0.10276538133621
2019-01-01 01:35:00,0.0,30.349761962891,19.277097702026,0.49621093273163,0.61384445428848,32.853759765625,0.0,2.2428851127625,0.20147651433945
2019-01-01 01:40:00,0.0,30.253324508667,19.428796768188,0.56072729825974,0.61267513036728,32.824333190918,0.0,2.8681080341339,0.5427377820015
2019-01-01 01:45:00,0.0,29.66809463501,20.064315795898,1.2064465284348,1.001624584198,32.840915679932,0.0,3.5187160968781,1.1243934631348
2019-01-01 01:50:00,0.0,29.148050308228,20.747871398926,1.3644429445267,1.177960395813,32.922088623047,0.0,3.5767529010773,1.1163746118546
2019-01-01 01:55:00,0.0,29.482158660889,20.583192825317,0.65376389026642,0.7127673625946,32.946361541748,0.0,3.3722960948944,0.91504901647568
2019-01-01 02:00:00,0.0,29.759038925171,20.139928817749,0.83134323358536,0.68753123283386,32.923679351807,0.0,3.1277425289154,0.71121698617935
2019-01-01 02:05:00,0.0,29.592544555664,20.445203781128,0.99851936101913,0.78747564554214,32.937229156494,0.0,3.0971992015839,0.59582602977753
2019-01-01 02:10:00,0.0,29.456693649292,20.808155059814,1.0354804992676,0.79406821727753,32.93953704834,0.0,3.3621163368225,0.89052271842957
2019-01-01 02:15:00,0.0,29.235744476318,21.114158630371,1.4796931743622,1.2109409570694,32.929885864258,0.0,3.7057130336761,1.2156753540039
2019-01-01 02:20:00,0.0,28.912734985352,21.651109695435,1.9678956270218,1.735687494278,32.96704864502,0.0,3.594494342804,0.81988477706909
2019-01-01 02:25:00,0.0,28.70339012146,22.005430221558,1.7882375717163,1.6162198781967,32.975849151611,0.0,3.6448657512665,0.89487910270691
2019-01-01 02:30:00,0.0,28.32368850708,22.507066726685,2.3002727031708,2.0253202915192,33.03006362915,0.0,3.7156178951263,1.0788543224335
2019-01-01 02:35:00,0.0,28.075073242188,23.014108657837,1.8696709871292,1.7161908149719,33.143466949463,0.0,3.4653730392456,0.94439458847046
2019-01-01 02:40:00,0.0,28.023054122925,23.212511062622,1.656078338623,1.4244241714478,33.192687988281,0.0,3.3880679607391,0.86630487442017
2019-01-01 02:45:00,0.0,27.9654712677,23.212562561035,1.7217290401459,1.4358154535294,33.221061706543,0.0,3.4562766551971,0.95416629314423
2019-01-01 02:50:00,0.0,27.921911239624,23.360403060913,1.1506886482239,0.86804956197739,33.23148727417,0.0,3.3145060539246,0.76342391967773
2019-01-01 02:55:00,0.0,27.675979614258,23.635496139526,1.9106189012527,1.6130975484848,33.276550292969,0.0,3.3716998100281,0.96523481607437
